iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	subnet_2_max 	 subnet_2_avg 	full_max 	 full_avg
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	140.17004157842038	6.088666476554342	65.05791093697636	2.41227628304388	5.090182647364841	0.1174339303245424	27.771380080512117	1.0943047633255114	179.6123873556586	12.12309608280243
2	90.36101710184013	3.8718717880017848	53.59242258876395	1.6239652344768345	5.090182728309742	0.10842516334719286	23.327279861740408	0.9239235346628769	101.15317797217102	7.393291751595566
3	61.77437306999289	2.454393716973863	46.81364390812989	1.4376276062252107	5.090182770963253	0.10118493779962892	20.14805199183948	0.8623769214565544	91.34668600111806	5.702938068028646
4	55.19997395475548	2.060493200053795	43.02298963493921	1.3629274672418332	5.090182792846576	0.0814022678602503	18.34648863752399	0.823766362669762	88.55232565602176	5.411213753005199
5	51.905648218541785	1.8725848120723796	32.17082180871637	1.2984182471291525	5.0901828041685775	0.06557453783985576	17.278111090141422	0.8112270749438936	86.19418593732149	5.02169370974652
6	50.27877817089916	1.7533438710767988	31.74055182910105	1.269408527056211	5.0901828107975575	0.05348468582772506	16.392528359537636	0.8014275934492089	89.65565511417873	4.989966624853092
7	49.12352336113315	1.6702659766820365	26.651195649047125	1.2261446783354664	5.090182814665411	0.04464586843449423	15.40585423041908	0.7768110853865622	85.32239934681358	5.174220370018735
8	48.32203841255881	1.6603378487164515	24.117857795355377	1.176549354811635	5.090182817065937	0.03806909648063604	15.931756426158302	0.7769327604959608	86.0093558041654	4.965492087725468
9	47.81079055108512	1.5555506086412219	19.73944535664036	1.141352127268953	5.090182818634361	0.033099663761786295	15.972161176633975	0.7632570374363317	86.80911545333679	4.7924969123863965
10	46.56433039120975	1.444792344745217	16.94167103301156	1.131590990956123	5.090182819703799	0.02929600873057581	16.31517962075118	0.760814130002751	90.89344155027402	4.543519290500322
11	44.692968772993794	1.4133667055457801	14.236693816312595	1.0386365689712713	5.090182820459546	0.026362578465236416	14.187772556744562	0.6818995854804043	100.89986974582646	4.528911094252063
12	44.93520189360058	1.349985404602073	12.388390848402711	0.7310522265112488	5.09018282100979	0.024364831762174563	9.467879348581278	0.5511573967393814	101.80160633241502	4.602363313487204
13	45.14281392913804	1.0816606556134534	9.923364881405973	0.7034708618734443	5.090182821441601	0.02282292044799947	9.511736346478656	0.5507658383506631	109.34322902974796	4.716439182670589
14	41.6261793940772	1.0526615742213723	9.131820934764406	0.6946654471010354	5.090182821628787	0.021597439116200857	8.745105565513967	0.29479363240752393	110.84420730158138	4.728516202075669
15	42.70935383365698	1.071803730978773	7.385027246275058	0.6356136394393738	5.090182821656114	0.02061365784115594	7.354162363474501	0.15326483501705912	117.73683412430108	4.746732418578397
16	42.30886248441581	1.0623527534835608	7.037191772490644	0.4333956488722585	5.090182821678184	0.019816444903170756	6.256919649171294	0.17623922689229787	123.33438891540976	4.484015588297456
17	42.311549375458654	1.038432662261608	7.036371711695935	0.33448739224411356	5.090182821696175	0.02170846144470078	5.316907807908656	0.17886056464380665	120.71780041803717	4.083908797162089
18	42.9102279523394	1.032411883765225	7.62755681496273	0.29921255393913154	1.4917280644305038	0.013969864569768363	3.855990876816861	0.18019588425255706	121.59029115772796	3.7294161181697354
19	47.33627649646462	1.078679823157139	3.9030384818674406	0.2592732103425933	1.49235110050477	0.013902678712184868	3.591627683223507	0.17501860980037548	113.37170111126186	3.9871266292049348
20	45.4247901679465	1.0035042370202447	6.7014253896914795	0.2760652531816939	1.4928699181306868	0.01384212123722148	2.8926032749415214	0.14873205468470066	118.84443391151787	3.9005162249582512
21	45.5166614532061	1.0434881555237048	4.108055598572264	0.17989732120833174	1.4933049016813698	0.013793129727218719	2.7879634928417687	0.12228085251748409	116.86841847664496	3.7603906911473333
22	45.07270102625894	0.949860666603776	4.225301628357144	0.14845808153157455	1.4936719638382385	0.013752436241308324	2.283073309807918	0.10312817031000841	121.3951094968633	3.610188091911316
23	44.62757018434225	0.9445699530237273	3.4108256493822893	0.1444862532543019	1.493983617393944	0.01371853705182049	1.7997442392995993	0.10813331889020679	125.38463999972625	3.661934205764794
24	43.99698400014961	0.9331121118082166	2.136092717171323	0.1266961433624582	1.4942497713385308	0.013690040165341456	1.5600305755378656	0.1106816260565376	128.81739161147607	3.6531799567254484
25	43.563851411270065	0.9111195403523146	2.0279212532445285	0.11968356304811907	1.3773480428034048	0.010563148630108325	1.6365134352888902	0.07924640718961033	136.3950832086427	3.7365682187647815
26	43.3898135675079	0.8910130637724297	1.4074904831197586	0.11644951620353379	1.1417983922503794	0.0036456635680199097	1.3996750035757515	0.057735098563567455	137.79200639927745	3.731957277335701
27	43.24930988631766	0.8987722452742772	1.5252229962533335	0.1133656357691938	1.052381380511875	0.001772158647335151	1.3295290806263438	0.04286998731792444	142.16781205426182	3.59603095762732
28	44.073367847196124	0.8870277484515773	1.4107195631869445	0.07227294791587141	0.0023063141102284135	1.5352166543013902E-4	0.7554145657525737	0.04310229811361045	144.70979519664007	3.8835664802529224
29	43.64348818879657	0.8714917284231051	0.7358704267794565	0.06682058671299235	0.001992426357816157	1.326274731371968E-4	0.7424970251107652	0.039773146290638765	142.07698846986756	3.988606258701733
30	43.204932196325714	0.8523022743929017	0.9306166765014723	0.056963500633453075	0.0017059036773332537	1.135548590044884E-4	0.2801639395397473	0.019823641025779395	146.1813502038528	3.963560164223611
