iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
142	16.0	0.0	362.0	0.0	0.0
143	16.0	0.0	360.0	0.0	0.0
144	31.0	0.0	361.0	0.0	0.0
145	31.0	0.0	358.0	0.0	0.0
146	31.0	0.0	360.0	0.0	0.0
147	17.0	0.0	373.0	0.0	0.0
148	16.0	0.0	373.0	0.0	2.0
149	19.0	1.0	377.0	0.0	2.0
150	19.0	0.0	364.0	0.0	1.0
151	20.0	0.0	355.0	0.0	0.0
152	15.0	0.0	360.0	0.0	0.0
153	15.0	0.0	360.0	0.0	0.0
154	16.0	0.0	359.0	0.0	0.0
155	32.0	0.0	344.0	0.0	0.0
156	31.0	0.0	350.0	1.0	1.0
157	7.0	0.0	360.0	0.0	0.0
158	15.0	0.0	345.0	0.0	0.0
159	32.0	0.0	343.0	0.0	0.0
160	16.0	0.0	343.0	0.0	16.0
161	19.0	1.0	340.0	0.0	0.0
162	16.0	0.0	344.0	0.0	0.0
163	31.0	0.0	333.0	0.0	0.0
164	16.0	0.0	344.0	0.0	0.0
165	31.0	0.0	342.0	0.0	1.0
166	19.0	1.0	347.0	0.0	2.0
167	19.0	0.0	341.0	0.0	2.0
168	19.0	0.0	324.0	0.0	0.0
169	32.0	0.0	344.0	0.0	0.0
170	16.0	0.0	344.0	0.0	1.0
171	19.0	0.0	338.0	0.0	1.0
172	19.0	0.0	337.0	0.0	2.0
173	19.0	0.0	326.0	0.0	0.0
174	15.0	0.0	350.0	0.0	2.0
175	19.0	0.0	317.0	0.0	16.0
176	15.0	0.0	329.0	0.0	0.0
177	16.0	0.0	337.0	0.0	2.0
178	4.0	0.0	328.0	0.0	0.0
179	16.0	15.0	330.0	0.0	1.0
180	19.0	0.0	331.0	0.0	2.0
181	19.0	0.0	327.0	0.0	0.0
182	16.0	0.0	378.0	0.0	0.0
183	16.0	0.0	363.0	0.0	2.0
184	19.0	0.0	337.0	0.0	2.0
185	18.0	0.0	333.0	0.0	1.0
186	19.0	0.0	330.0	0.0	2.0
187	19.0	1.0	326.0	0.0	2.0
188	19.0	0.0	320.0	0.0	1.0
189	20.0	0.0	328.0	0.0	2.0
190	19.0	0.0	329.0	0.0	2.0
191	19.0	0.0	302.0	0.0	0.0
192	31.0	0.0	316.0	0.0	0.0
193	16.0	0.0	316.0	0.0	0.0
194	22.0	0.0	317.0	0.0	15.0
195	16.0	0.0	316.0	0.0	0.0
196	16.0	0.0	320.0	0.0	2.0
197	17.0	1.0	315.0	0.0	1.0
198	19.0	0.0	321.0	0.0	2.0
199	19.0	0.0	306.0	0.0	0.0
200	31.0	0.0	316.0	0.0	0.0
201	16.0	16.0	318.0	0.0	2.0
202	18.0	0.0	316.0	0.0	0.0
203	15.0	0.0	326.0	0.0	0.0
204	27.0	1.0	324.0	0.0	0.0
205	23.0	0.0	307.0	0.0	0.0
206	16.0	0.0	317.0	0.0	0.0
207	15.0	0.0	308.0	0.0	0.0
208	15.0	0.0	316.0	0.0	1.0
209	19.0	0.0	310.0	1.0	1.0
210	19.0	0.0	306.0	0.0	1.0
211	19.0	0.0	305.0	0.0	0.0
212	15.0	0.0	313.0	0.0	0.0
213	15.0	0.0	299.0	0.0	0.0
214	31.0	0.0	296.0	0.0	0.0
215	16.0	0.0	313.0	0.0	0.0
216	15.0	0.0	298.0	0.0	0.0
217	15.0	0.0	309.0	1.0	1.0
218	19.0	0.0	296.0	0.0	0.0
219	15.0	0.0	297.0	0.0	0.0
220	31.0	0.0	297.0	0.0	0.0
221	16.0	0.0	287.0	0.0	0.0
222	16.0	0.0	307.0	0.0	0.0
223	16.0	0.0	297.0	0.0	0.0
224	15.0	0.0	299.0	0.0	0.0
225	31.0	0.0	295.0	0.0	2.0
226	18.0	1.0	277.0	0.0	16.0
227	15.0	0.0	282.0	0.0	0.0
228	16.0	0.0	310.0	0.0	0.0
229	15.0	0.0	286.0	0.0	16.0
230	16.0	0.0	285.0	0.0	1.0
231	10.0	0.0	282.0	0.0	0.0
232	15.0	0.0	298.0	0.0	0.0
233	15.0	0.0	301.0	0.0	2.0
234	18.0	0.0	308.0	0.0	1.0
235	18.0	1.0	291.0	0.0	1.0
236	19.0	0.0	275.0	0.0	0.0
237	31.0	0.0	283.0	0.0	0.0
238	15.0	0.0	287.0	0.0	16.0
239	18.0	0.0	289.0	0.0	0.0
240	15.0	0.0	282.0	0.0	0.0
241	16.0	0.0	281.0	16.0	0.0
242	15.0	0.0	292.0	0.0	1.0
243	19.0	0.0	294.0	0.0	1.0
244	19.0	0.0	291.0	1.0	1.0
245	18.0	0.0	292.0	0.0	1.0
246	19.0	1.0	265.0	0.0	0.0
247	31.0	0.0	281.0	0.0	0.0
248	16.0	0.0	296.0	0.0	1.0
249	17.0	0.0	281.0	0.0	0.0
250	16.0	0.0	280.0	0.0	0.0
251	16.0	0.0	281.0	0.0	0.0
252	16.0	0.0	291.0	0.0	1.0
253	17.0	1.0	279.0	0.0	1.0
254	19.0	0.0	277.0	1.0	1.0
255	18.0	0.0	277.0	0.0	2.0
256	18.0	0.0	262.0	0.0	0.0
257	16.0	0.0	269.0	0.0	0.0
258	32.0	0.0	265.0	0.0	0.0
259	16.0	0.0	282.0	0.0	0.0
260	16.0	0.0	280.0	0.0	0.0
261	16.0	0.0	266.0	0.0	15.0
262	16.0	0.0	267.0	0.0	0.0
263	16.0	0.0	265.0	0.0	0.0
264	16.0	0.0	281.0	0.0	0.0
265	15.0	0.0	266.0	0.0	0.0
266	31.0	0.0	275.0	0.0	1.0
267	18.0	0.0	273.0	0.0	1.0
268	18.0	0.0	269.0	0.0	1.0
269	18.0	1.0	259.0	0.0	0.0
270	16.0	0.0	276.0	0.0	0.0
271	15.0	0.0	263.0	0.0	0.0
272	15.0	0.0	256.0	0.0	0.0
273	31.0	0.0	260.0	0.0	0.0
274	16.0	0.0	264.0	0.0	1.0
275	19.0	0.0	264.0	0.0	0.0
276	15.0	0.0	252.0	0.0	0.0
