origin 	 dest 	 flow 	 cost
110	11433	7946	2.370408748
110	19801	806	3.764334031
111	26014	5151	1.528430892
111	35543	3770	1.79328951
112	29056	17740	1.550366546
112	42839	230	2.969725001
113	26056	0	1.783295
113	36694	1514	1.463270051
113	36786	11369	1.898781843
114	17839	0	1.016064
114	26162	6029	0.295603248
115	12041	280	4.644660003
115	13539	114	3.498709
115	21485	29967	2.14265675
116	8615	22499	6.014739181
116	40243	27132	3.910704197
117	8615	2066	1.708095122
117	38779	7112	2.120178598
118	18450	0	5.330963
118	21643	45912	1.596805642
119	6081	21179	3.28617553
119	21625	59	4.919013
119	21952	20537	2.307115397
120	6081	5340	3.847510439
120	41952	2093	3.67090327
120	42789	12814	2.022350597
121	6733	2660	2.502098319
121	21840	4079	2.348059801
122	6748	8893	1.995537088
122	22861	8269	0.689488195
122	41087	5996	1.403873161
123	15673	60159	1.00028836
123	15786	1044	3.36841205
124	40515	20590	1.496073133
125	18518	16	12.218676
125	21748	0	58.390903
125	33928	0	16.648418
126	18680	36162.87336	1.321240166
126	40986	5268.126643	2.775411705
127	22819	7355	1.467201942
127	37687	6487	1.508020495
127	38205	15023	1.346000208
128	5213	15156.43766	0.816599701
128	40865	12942.56234	1.546180508
129	22494	12820	1.587633542
129	40865	12123	1.521249355
130	26141	18788	0.767541783
131	9848	191	2.653240001
131	10125	27908	0.921150188
132	16404	6083	1.177103007
133	16773	44	18.2852
133	41721	844	10.9024601
134	19749	1021	2.351070033
134	26248	1874	1.851527106
135	7158	1865	29.14178264
135	13702	1798	33.02697171
136	30149	922	1.841935021
136	32959	5379	4.016540589
136	41249	20	4.831956
137	14106	0	5.518384
137	14240	408	2.196550004
137	25310	7	10.728173
137	31129	897	2.261678024
138	5059	0	12.66439
138	26078	319	2.413132002
138	41628	408	3.618322006
139	5450	838.9407152	3.39379303
139	23056	208	2.035950001
139	31180	0	5.40373
139	43591	3208.059285	1.455150286
140	8068	0	7.9865
140	40993	1046	3.032937045
141	6306	0	6.162169
141	17263	6399	2.452700357
141	35076	383	3.123122005
142	25543	1168	0.910768018
142	33550	6250	0.958283872
143	14558	3284	0.750244155
143	25382	0	4.653272
143	29177	0	5.04933
144	25543	7489	1.139673572
145	27747	457	10.19847502
145	30777	440	12.37681903
146	25700	0	45.305099
146	27975	510	29.60217508
146	36555	178	26.80807101
147	6739	15555	0.629445665
147	35280	75	1.848132
148	11606	0	2.669531
148	31446	0	2.558148
148	39535	16974	0.468353243
149	6355	801	0.615692005
149	8065	0	2.215465
149	26596	15109	0.511101543
149	35687	236	1.075068001
150	7412	8813	0.572653149
150	12613	6480	0.378968375
151	14300	1137	2.899595052
151	16164	0	16.158567
152	8081	0	10.554464
152	22885	1418	8.475911254
152	39900	716	6.563115041
152	40788	0	13.260215
152	41955	2559	7.780980908
153	37167	6	33.961803
153	40932	5	16.073605
154	11826	6547	4.350300406
154	38036	765	4.353965032
155	12784	636	2.281699011
155	27433	8977	1.04156118
155	42466	4167	1.389441498
156	22979	1764	0.960680048
156	31751	765	2.581868019
156	32247	4639	1.510956693
157	22255	1343	0.790465021
157	37140	5966	1.097654898
158	6715	4564	1.238333547
158	10971	4793	1.449872717
158	13969	3467	2.776154652
159	32808	8220	0.18706832
159	32884	0	1.521552
159	44315	0	1.494845
160	10088	14495	0.527364323
160	31682	642	1.015433005
160	32884	0	2.159892
161	17643	3956	4.873865549
161	18126	528	9.258862029
162	8587	722	2.938879019
162	31369	1209	7.915852165
163	9862	0	6.20772
163	18126	2190	2.915345238
163	29917	3968	5.908763892
164	13131	2754	4.48263162
164	20871	362	5.563127007
165	13131	0	9.090273
165	15750	0	9.946067
165	20368	4937	1.92845502
166	26063	3229	2.756823549
166	26746	0	10.696769
166	36744	2967	7.576603243
167	22628	1258	12.74033829
168	12997	0	0.360438
168	37140	6519	0.447023448
169	10510	0	7.55443
169	11761	2739	4.694615641
169	12334	4270	6.67603053
169	29294	901	3.329193035
170	29542	3667	0.247536066
170	38939	256	0.258925
171	4911	2899	0.684471106
172	17850	1434	9.831804303
172	35730	996	7.816087104
173	7716	4184	1.912512692
173	20144	2745	1.31373418
174	12889	39	5.67656
174	19406	0	22.230417
174	34471	0	15.322005
174	40850	1310	4.105938103
175	5309	0	9.624971
175	5339	3134	4.483535834
175	40432	2917	5.899322931
176	12580	2292	1.419459129
176	15068	1251	1.115337025
177	14305	2655	5.479712696
177	40432	1231	5.564746121
