iteration 	 stepSize
0	0.2
1	0.21000000000000002
2	0.1995
3	0.1995
4	0.1995
5	0.1995
6	0.1995
7	0.20947500000000002
8	0.21994875000000003
9	0.23094618750000004
10	0.24249349687500005
11	0.24249349687500005
12	0.24249349687500005
13	0.24249349687500005
14	0.24249349687500005
15	0.25461817171875006
16	0.26734908030468757
17	0.28071653431992194
18	0.29475236103591806
19	0.309489979087714
20	0.32496447804209966
21	0.34121270194420467
22	0.3582733370414149
23	0.37618700389348564
24	0.3949963540881599
25	0.41474617179256795
26	0.43548348038219636
27	0.4572576544013062
28	0.48012053712137154
29	0.5041265639774402
30	0.5293328921763122
31	0.5557995367851278
32	0.5835895136243843
33	0.6127689893056035
34	0.6434074387708837
35	0.6755778107094279
36	0.7093567012448994
37	0.7448245363071444
38	0.7820657631225016
39	0.8211690512786267
40	0.8622275038425581
41	0.905338879034686
42	0.9506058229864204
43	0.9981361141357414
