iteration 	 gap 	 fullGap
0	9.872731689285525	0.909143857032927
1	28.852172785668923	0.9665016008322159
2	15.61472725403762	0.9398124335891831
3	8.687989295463797	0.8967794070057211
4	5.026957621423706	0.8340788067854745
5	3.0549828913882875	0.7533898349796406
6	1.95702654882519	0.6618224478243883
7	1.292510962513917	0.5637970695226595
8	0.9278154086475897	0.4812903735285978
9	0.6441513584430615	0.3917934936532551
10	0.613732245151122	0.38031861126012145
11	0.5573753521662503	0.3578951365081796
12	0.48918217523217405	0.3284934463599023
13	0.4400311938257327	0.30564297943679863
14	0.37387824532212466	0.2721357831750604
15	0.30827003119248625	0.23563468285576095
16	0.26519530284052634	0.20967044810949098
17	0.2106953773459917	0.17402926146464837
18	0.16230135165732618	0.1396388848447786
19	0.13478312320254943	0.11881212408810371
20	0.10068754401928348	0.09147699245758545
21	0.08248391711949386	0.0762201976867255
22	0.05947703575603356	0.05613813587048755
23	0.04795135072012309	0.04576790312494927
24	0.03333715522969111	0.032261728987239335
25	0.026406139109753233	0.025731356714858267
26	0.017671072168354476	0.01736430844800263
27	0.013697903526547041	0.013514449313301258
28	0.008945070046743227	0.008865779316712397
29	0.006617518341552802	0.006574500861619481
30	0.004205425163736094	0.00418782019345465
31	0.0029259374742660704	0.0029175158411204327
32	0.0017864138259905504	0.0017832306478796633
33	0.001157508304036871	0.0011561905494709146
34	6.686039963026363E-4	6.681579589857822E-4
35	3.9841375902507746E-4	3.982577094395756E-4
36	2.136589498213145E-4	2.1361346373205414E-4
37	1.151872331042452E-4	1.151741810774265E-4
38	5.589958317811068E-5	5.589648363923949E-5
39	2.667924782945521E-5	2.667854527615976E-5
40	1.1258493666262511E-5	1.1258369682298763E-5
41	4.921344480682918E-6	5.410092291380231E-6
42	1.8259780319876514E-6	2.2653698453778404E-6
43	8.307745044134486E-7	1.204908291030371E-6
