iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
261	10	0	147	0	0
262	15	0	157	0	0
263	15	0	163	0	1
264	11	0	153	0	0
265	0	0	156	0	0
266	16	0	156	0	0
267	21	0	155	0	2
268	0	0	167	1	1
269	11	0	153	1	1
270	11	0	154	0	2
271	10	0	158	0	2
272	10	0	153	1	1
273	10	1	158	0	1
274	11	0	152	0	0
275	16	0	157	1	1
276	11	0	139	0	0
277	15	0	162	0	0
278	0	0	157	0	0
279	18	0	149	0	0
280	15	0	141	0	0
281	16	0	156	0	0
282	0	0	156	0	0
283	16	0	156	0	0
284	0	0	156	0	0
285	16	0	142	16	0
286	0	0	160	0	0
287	15	0	156	0	0
288	0	0	169	0	0
289	0	0	156	0	0
290	16	0	140	0	16
291	0	0	157	0	0
292	15	0	163	0	1
293	10	1	152	0	2
294	10	0	152	0	2
295	10	0	155	0	1
296	10	1	153	0	1
297	11	0	153	0	1
	3396	88	64071	84	327
