iteration 	 master_max 	 master_avg 	south_max 	 south_avg 	north_max 	 north_avg 	full_max 	 full_avg
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1237.2065588591113	15.877934579528358	178.0998551267807	2.6542012886857274	69.95115695207718	1.8573857414710835	243.08072479754276	5.830098242019698
2	194.19659911077133	6.330325731573654	88.53856453570657	2.5274560224873794	61.6175849346951	1.6575804858267542	117.56965320306188	4.338204894764424
3	121.00782669006048	4.128997734894107	80.14792787506852	2.222271974709081	51.34154741387254	1.436997318811459	103.63983072760982	3.794300095064321
4	97.55319449917891	3.5007340925045773	56.38453126192178	1.9804457871621655	43.896081447581764	1.3475077976797922	104.309667678767	3.4728586386818896
5	104.96681504274386	3.170607811558389	71.9435587676889	1.938872820162669	37.67534099444891	1.277095670244493	104.64026190054537	3.28985299733897
6	101.62248339015207	3.046910192029395	43.10937899887067	1.6811454547142408	32.01136536124297	1.2123031520878738	99.3656163932734	3.020216677033711
7	100.09351792238368	2.8517023787108666	55.646367298013786	1.5819805181278486	27.227556172341814	1.1429979191904889	103.04277128086025	2.9240746167547336
8	101.83286391304452	2.822831278258039	33.72904182301323	1.401277121260554	23.531313078356497	1.0738211376320899	102.01355765573007	2.6692641399646337
9	100.41311261932975	2.69525077443454	32.86869000813229	1.2914805456565783	20.599251800192683	1.0116591273742022	100.32013909498036	2.6140637896019614
10	99.66462958861683	2.658466784112642	31.258143285631945	1.1833476429410008	19.47876704937854	0.9312962470394934	100.47813460836863	2.4416006472104974
11	99.84377530305775	2.578358668342214	29.141472481868846	1.0519443766764869	15.273761530365562	0.8664119811882229	101.4275766623685	2.371253357585866
12	99.85860350623491	2.5570321768181365	28.03801372422754	0.9997811756936539	14.394715243277403	0.8149092522837735	99.78925120670232	2.2127046352443167
13	99.60515825705136	2.5201408327628716	24.106991191833316	0.8566474332597229	12.436237664323713	0.7668788223359635	100.375089022434	2.1353100585514575
14	99.35378038374631	2.4604454204065664	16.879460706551527	0.7914078083961368	10.22032463634801	0.6970416616635605	101.44505620237936	2.037955632550102
15	98.77320543561385	2.442908856914441	16.92773639679129	0.738252421383974	10.357751097498436	0.6398449280816265	98.8123063342322	1.9711229995075699
16	96.8768041826894	2.3877377030667737	15.280551682544996	0.6947745396821536	10.567969339173374	0.5984589139857879	97.44288225588627	1.8500009276670706
17	97.17779807954554	2.375154319239057	16.04267997961645	0.6205774761151577	11.014470336922159	0.5446159337407739	98.80241140557047	1.7592623563238285
18	97.03329398581192	2.331545002955106	13.24470509085215	0.5329540607024991	12.084632675159725	0.4966392959928618	96.50540891426974	1.6617226530038203
19	96.65501657713833	2.2862710773996167	13.621475516262251	0.4984689105069842	12.810379226602493	0.4672998813432389	100.26822306558765	1.6022329589815185
20	99.47995425537667	2.2749541684431205	9.080705835664133	0.432018825730734	4.747026226848391	0.41916530911065814	96.68361850333073	1.5429088049252206
21	95.96996635384997	2.2326297189055198	6.696939838109387	0.3686550332167773	4.8955537224107815	0.373335903062629	96.05385091310504	1.4697052422405052
22	95.251899103129	2.203629183419085	7.095820053606133	0.33874916369153574	4.204923259949155	0.3347780454538473	96.12583870782464	1.4026914396059684
23	95.28366481553658	2.1675308787719287	5.348788059537213	0.2739382497339824	4.080912316340218	0.2910661164805	96.23222256478815	1.3160325848663896
24	95.94802854519634	2.1492928676388314	4.5169097287870414	0.23485578945795835	3.62619587760085	0.24980279437835048	95.51524613194658	1.265462755324967
25	95.17611222865759	2.1221245106937308	4.211016100940242	0.21127313783833057	3.2367963165709313	0.2179813662884032	95.50776356464218	1.2389568102603048
