iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
119	1328.0	0.0	32.0	0.0	0.0
120	1421.0	0.0	32.0	0.0	15.0
121	1344.0	0.0	47.0	0.0	0.0
122	1344.0	0.0	47.0	0.0	0.0
123	1343.0	0.0	47.0	0.0	0.0
124	1469.0	0.0	47.0	0.0	0.0
125	1409.0	0.0	46.0	0.0	0.0
126	1407.0	0.0	31.0	0.0	0.0
127	1344.0	0.0	31.0	0.0	16.0
128	1414.0	0.0	31.0	0.0	0.0
129	1384.0	0.0	31.0	0.0	0.0
130	1328.0	0.0	31.0	16.0	0.0
131	1344.0	0.0	31.0	0.0	0.0
132	1453.0	0.0	47.0	0.0	0.0
133	1392.0	0.0	47.0	0.0	0.0
134	1375.0	0.0	31.0	0.0	0.0
135	1323.0	0.0	36.0	0.0	0.0
136	1422.0	0.0	47.0	0.0	0.0
137	1406.0	0.0	47.0	0.0	0.0
138	1329.0	0.0	47.0	0.0	0.0
139	1344.0	0.0	31.0	0.0	0.0
140	1469.0	0.0	47.0	0.0	0.0
141	1375.0	0.0	31.0	0.0	0.0
142	1375.0	0.0	31.0	0.0	0.0
143	1313.0	0.0	47.0	0.0	0.0
144	1437.0	0.0	32.0	15.0	0.0
145	1391.0	0.0	47.0	0.0	0.0
146	1375.0	0.0	31.0	0.0	0.0
147	1313.0	0.0	46.0	0.0	0.0
148	1422.0	0.0	47.0	0.0	0.0
149	1360.0	0.0	47.0	0.0	0.0
150	1343.0	0.0	32.0	15.0	0.0
151	1328.0	0.0	47.0	0.0	0.0
152	1423.0	0.0	47.0	0.0	0.0
153	1360.0	0.0	31.0	0.0	0.0
154	1328.0	0.0	31.0	0.0	0.0
155	1313.0	0.0	47.0	0.0	0.0
156	1469.0	0.0	47.0	0.0	0.0
157	1359.0	0.0	31.0	16.0	0.0
158	1328.0	0.0	47.0	0.0	0.0
159	1298.0	0.0	31.0	0.0	0.0
160	1438.0	0.0	47.0	0.0	0.0
161	1344.0	0.0	31.0	0.0	15.0
162	1297.0	0.0	47.0	0.0	0.0
163	1391.0	0.0	31.0	0.0	0.0
164	1485.0	0.0	46.0	0.0	0.0
165	1360.0	0.0	31.0	0.0	0.0
166	1360.0	0.0	46.0	0.0	0.0
167	1391.0	0.0	31.0	0.0	0.0
168	1485.0	0.0	47.0	0.0	0.0
169	1375.0	0.0	46.0	0.0	0.0
170	1345.0	0.0	31.0	0.0	0.0
171	1329.0	0.0	46.0	0.0	0.0
172	1406.0	0.0	47.0	0.0	0.0
173	1392.0	0.0	32.0	0.0	0.0
174	1375.0	0.0	31.0	0.0	0.0
175	1359.0	0.0	32.0	0.0	15.0
176	1453.0	0.0	32.0	0.0	15.0
177	1391.0	0.0	47.0	0.0	0.0
178	1375.0	0.0	31.0	0.0	16.0
179	1375.0	0.0	31.0	0.0	0.0
180	1455.0	0.0	47.0	0.0	0.0
181	1422.0	0.0	31.0	0.0	15.0
182	1360.0	0.0	47.0	0.0	0.0
183	1328.0	0.0	47.0	0.0	0.0
184	1437.0	0.0	47.0	0.0	0.0
185	1396.0	0.0	47.0	0.0	0.0
186	1328.0	0.0	31.0	0.0	0.0
187	1344.0	0.0	31.0	0.0	0.0
188	1438.0	0.0	47.0	0.0	0.0
189	1359.0	0.0	32.0	15.0	0.0
190	1328.0	0.0	47.0	0.0	0.0
191	1361.0	0.0	47.0	0.0	0.0
192	1453.0	0.0	31.0	0.0	0.0
193	1394.0	15.0	32.0	0.0	0.0
194	1343.0	0.0	47.0	0.0	0.0
195	1344.0	0.0	47.0	0.0	0.0
196	1469.0	0.0	31.0	0.0	0.0
197	1406.0	0.0	47.0	0.0	0.0
198	1330.0	0.0	31.0	0.0	0.0
199	1438.0	0.0	31.0	0.0	16.0
200	1469.0	0.0	31.0	0.0	0.0
