origin 	 dest 	fft	 flow 	 cost
1	2	4.5	2548.755418	7296.663312
1	4	9	4451.244582	8488.682339
2	3	4.5	2383.14876	5578.261078
2	5	4.5	2165.606658	3805.186517
3	6	4.5	2383.14876	5578.261078
4	5	9	3313.628342	2613.167628
4	7	9	3137.616239	2102.403989
5	6	4.5	2553.519311	7351.33564
5	8	9	2925.71569	1591.64035
6	9	4.5	936.6680709	137.5107074
7	8	9	3137.616239	2102.403989
8	9	9	4063.331929	5897.205443
