iteration 	 gap 	 fullGap
0	5.748153078202993	0.9840060277826519
1	0.12337181714945662	0.936842115783214
2	0.08731967871279402	0.9305938972805554
3	0.06399090194534846	0.9289116992726936
4	0.047530203037620976	0.9275427241651847
5	0.035707616480660516	0.926434976408963
6	0.02708202143904067	0.9255432561349791
7	0.020702284692328418	0.9248283332283086
8	0.015927929042549686	0.924256962529943
9	0.012319263369573516	0.9238014470108661
10	0.009568863879250556	0.9234389982228162
11	0.0074580843022223125	0.9231510402442494
12	0.005828964431197502	0.9229225372716003
13	0.00456576498589502	0.9227413842634534
14	0.0035826167042052872	0.9225978759488124
15	0.0028151151277064114	0.9224842559830061
16	0.0022145027946471165	0.9223943410099046
17	0.001743288250078893	0.922349951210765
18	0.0013737587904229136	0.9222669581685834
19	0.0010828720773442936	0.9222391531799521
20	8.541315211110088E-4	0.9221873194158988
21	6.738314479251313E-4	0.9221699268282375
22	5.318064148138213E-4	0.9221375626408779
23	4.1976419752164947E-4	0.9221266925361045
24	3.3141112935723043E-4	0.922106488304084
25	2.616735320366995E-4	0.9220996982750728
26	2.0664321200925396E-4	0.9220870865762819
27	1.6319313551621222E-4	0.9220828465830282
28	1.2888825438943288E-4	0.9220794964017908
29	1.0180414460324286E-4	0.9220707512705157
30	8.041190782880157E-5	0.9220686598188691
31	6.35170656964051E-5	0.9220670074294637
32	5.0174209800462984E-5	0.922062695676922
33	3.963437700143697E-5	0.9220616642739705
34	3.130913035024614E-5	0.9220608494309714
35	2.473317454215187E-5	0.9220587235537974
36	1.9538418216005133E-5	0.9220582149746135
37	1.5434857563041187E-5	0.9220578131886309
38	1.2193229904621157E-5	0.9220574957724449
39	9.632512135223315E-6	0.9220563650444041
40	7.609564789950202E-6	0.9220561669391477
41	6.011481419389405E-6	0.9220560104347166
42	4.749023660825921E-6	0.9220558867954181
43	3.7516995713413787E-6	0.9220557891198741
44	2.9638316169448862E-6	0.9220553232930353
45	2.341415634957195E-6	0.9220552623331295
46	1.8497112729025342E-6	0.9220552141746828
47	1.4612674876691944E-6	0.9220551761294344
48	1.1543985580204323E-6	0.922055146073641
49	9.119731401822302E-7	0.9220551223295348
50	7.204582899160667E-7	0.9220549728160345
51	5.691613788648905E-7	0.9220549579972988
52	4.4963707112319317E-7	0.9220549462904905
53	3.552130250728388E-7	0.9220549370421074
54	2.806181268932297E-7	0.922054929735882
55	2.2168821865228463E-7	0.9220549239639622
56	1.751336292901088E-7	0.9220549194041443
57	1.3835552775510761E-7	0.9220549158018877
58	1.0930086624671715E-7	0.9220548773339501
59	8.634766888672817E-8	0.9220548750857804
60	6.821464897720006E-8	0.9220548733097264
61	5.388956666807901E-8	0.9220548719066435
62	4.25727540486137E-8	0.9220548707982079
63	3.363247337945384E-8	0.9220548699225438
64	2.656965251804415E-8	0.9220548692307692
65	2.099002464827765E-8	0.9220548686842672
66	1.6582118916620622E-8	0.9220548682525307
67	1.3099873563437597E-8	0.9220548679114589
68	1.0348900077228E-8	0.9220548676420119
69	8.175631261725421E-9	0.9220548615348974
70	6.4587486535316015E-9	0.9220548613667356
71	5.1024114028452395E-9	0.9220548612338878
72	4.030905025051642E-9	0.9220548611289381
73	3.1844149731548906E-9	0.9220548610460279
74	2.5156878252949227E-9	0.9220548609805287
75	1.9873933271128397E-9	0.9220548609287843
76	1.570040885119073E-9	0.9220548608879063
77	1.2403323566863213E-9	0.9220548608556126
78	9.798625769457118E-10	0.9220548608301007
79	7.740915060794944E-10	0.9220548608099463
