iteration 	 gap 	 fullGap
0	0.812753885160734	0.9286613360366577
1	0.3830183540707166	0.8882033769569379
2	0.22073433787935032	0.8654517316179795
3	0.14414889843778894	0.8565221300582724
4	0.09369738229015619	0.8502060715712791
5	0.07150194754650713	0.8503786800662512
6	0.05692983336139101	0.8484196463891926
7	0.04972425823729611	0.8491060803782067
8	0.04867441624592458	0.851363593489621
9	0.0425434092170755	0.8515826545699469
10	0.03578987055370094	0.8527952046011897
11	0.03651538758497717	0.8536648203198843
12	0.03736388771030071	0.8571960598270298
13	0.03413608480629683	0.8587700669436015
14	0.025501622399517164	0.859079186209784
15	0.020770696902733452	0.8603021272131915
16	0.020775968456946473	0.8610493428752585
17	0.02165838187458005	0.861619293941297
18	0.020158988020304844	0.8619855122805961
19	0.019292993145681638	0.8616634622895357
20	0.01865582670761128	0.8626760259191784
21	0.01814055328076791	0.8629700862307917
22	0.018567330856919608	0.863000785996772
23	0.018466344776608953	0.8635049862664457
24	0.017618790128647796	0.8637423792547725
25	0.016709928636054493	0.8640107006509802
26	0.015657033424290284	0.8641792243607634
27	0.014611364648397095	0.8640041504034176
28	0.013636734684730565	0.8639313288041504
29	0.012791713370529208	0.8638244823126887
30	0.011954265822287731	0.863742501067924
31	0.011175688239686572	0.8636641529250241
32	0.010424357427832306	0.8635653628666305
33	0.00975420836610648	0.8634287983341348
34	0.009087738877551873	0.8632704864448054
35	0.00848362717537434	0.8631220153108907
36	0.007913135316837029	0.8629765192792793
37	0.0073489132663911785	0.8628817214423239
38	0.006853505675431753	0.8627643400311531
39	0.006363638953872946	0.862633533895508
40	0.0059253288401748426	0.8625157597413149
41	0.0055256741096165	0.8624368970841516
42	0.005144147833279354	0.8623629778719737
43	0.004801355308967174	0.8622933885161865
44	0.004473948675425426	0.8622516222013729
45	0.004166746772774382	0.8622339189676094
46	0.0038879898614068735	0.8622396780422769
47	0.003634584707167993	0.862231141726949
48	0.003413040320068046	0.8622412712526094
49	0.0032214118724283747	0.8622672939571085
50	0.0030489228409206507	0.8622943101871883
51	0.002894323291031451	0.8623224545342094
52	0.0027561167235396304	0.862352721604452
53	0.002633607450752092	0.8623844775108938
54	0.002520056246611555	0.8624152460408344
55	0.0024174766679015765	0.8624444496295476
56	0.00232677147546536	0.8624757699153822
57	0.0022412942286091264	0.8625049804817014
58	0.0021657573986782375	0.8625341119984143
59	0.002094475153248676	0.8625619655351524
60	0.0020316202598950786	0.8625903296429229
61	0.0019723243010602858	0.8626183190580814
62	0.0019195391326246498	0.8626455841668985
63	0.0018692780318091396	0.8626711145993174
64	0.0018243655974718518	0.8626957586294947
65	0.001781474675802693	0.8627189605206493
66	0.001743103842957309	0.8627412421514828
67	0.001706311213289505	0.8627621986008364
68	0.001673352348602291	0.8627821535659141
69	0.0016419069594635735	0.862801075988644
70	0.0016131562348974911	0.8628191743685347
71	0.0015863541739623973	0.8628362045935665
72	0.0015614364965302002	0.8628522401147433
73	0.0015383242586356307	0.8628676346546605
74	0.0015162465861947294	0.8628822526614007
75	0.0014961960203557375	0.8628960217627064
76	0.0014772477964532748	0.8629092706104335
77	0.0014592564912392146	0.8629219751968042
78	0.0014427031169847496	0.8629340357045201
79	0.0014271227155533567	0.8629456555205907
80	0.0014122936623886058	0.8629567631580557
81	0.0013985960346143802	0.8629672796960537
82	0.0013856803949649488	0.8629773745395403
83	0.001373434326585148	0.8629870095467596
84	0.0013619849971249983	0.8629961179460675
85	0.0013512216011571476	0.8630048398027004
86	0.0013411012139359206	0.8630131578241389
87	0.0013314446796260637	0.8630210143116737
88	0.001322436462690433	0.8630285249481342
89	0.0013138738679911261	0.8630357138378071
90	0.0013057741493681387	0.8630425206026302
