itr 	 Avg % dif 	 scaled avg diff 	 total difference
0	1.1441434831606152	1.7707666087285354	14657.75414867865
1	0.8944653914636969	1.3223725250708656	10891.686417168146
2	0.8620499708436702	1.210631437609624	10156.821750511986
3	0.8435584474751152	1.187913857366183	9823.90986870814
4	0.8368999715870505	1.182014195339144	9676.053970804636
5	0.8440997857669696	1.194495035971654	9707.758736459033
6	0.8433726113227382	1.1950287903570158	9694.310321783576
7	0.8383332539941166	1.2049797961517514	9673.246792442591
8	0.8251786610204812	1.1940708337908257	9555.360834341847
9	0.8248282649974399	1.2056148053634226	9551.981319110026
10	0.8232364346432867	1.2166891327299039	9531.932810819178
11	0.8073732478220003	1.2101431415307615	9370.742926783034
12	0.8030170226071415	1.21633714728887	9287.31202330773
13	0.7869670959772016	1.2046472605453482	9128.086722310976
14	0.7872054520207067	1.211864276717683	9129.29399253559
15	0.7846974740703252	1.216825214098877	9114.527715649254
16	0.782878685854245	1.2245456359037479	9100.49356297718
17	0.7848409349949226	1.2313112634359746	9127.195385444542
18	0.7854002736294066	1.236854365076179	9135.2514400895
19	0.7878900907786666	1.2391007254681452	9163.35188246516
20	0.7858172605588568	1.2410705784487144	9157.000350482554
21	0.7862688841345499	1.2426908666353946	9166.128588512127
22	0.7871526376483242	1.243396326544415	9177.065162760551
23	0.7886558956805644	1.2464295026158045	9193.693570626272
24	0.7895108149977947	1.248456548214844	9202.824135186069
25	0.7910562880943933	1.2511960349908093	9217.485643422584
26	0.7919397556833374	1.2533222124291539	9227.395055805322
27	0.7930188607290254	1.2547131917007517	9237.780315703762
28	0.7941928582141369	1.2564265407674011	9250.267913640246
29	0.7951900738606891	1.2582819359836426	9260.649026436642
30	0.7962333295651245	1.259751099982908	9271.874282650575
31	0.7972380874664559	1.2611680277841273	9282.729579671251
32	0.7981992722055617	1.2625614456089065	9293.311934589592
33	0.7989401326837139	1.2637101463629963	9302.063517821773
34	0.7997589297692731	1.264728023721796	9311.124619274728
35	0.8005464635622217	1.265966337767163	9319.69710035576
36	0.8014071812214038	1.2670354264959272	9328.98796876504
37	0.8022531058484026	1.2683489797306733	9338.195713372035
38	0.803077456402841	1.2696196004876839	9346.956431173394
39	0.8038260823213358	1.2706012088611665	9355.001514083851
40	0.8045849182115392	1.2717557464029061	9363.251405325504
41	0.8053816864278216	1.273056422361898	9371.825983126759
42	0.8061861848962751	1.2744480830635239	9380.344425709967
43	0.8067728011579712	1.2756185128771882	9386.96820034949
44	0.8073914811472269	1.2768463053649597	9393.808620386188
45	0.8080146199055062	1.2781096853994365	9400.632464250737
46	0.8086277900384753	1.2793795434802862	9407.298730001034
47	0.8091465576970255	1.280416025277934	9412.94183282332
48	0.8096608446369147	1.2814870780036218	9418.50826432792
49	0.8101415983780613	1.2824900785165925	9423.689251375916
50	0.8105733645661343	1.2834295253437682	9428.29228602265
51	0.8109658194020072	1.2843030923160272	9432.497483624895
52	0.8113296900971694	1.285112399557908	9436.410192432317
53	0.8116677501651366	1.2858755508057176	9440.063727882463
54	0.8119726542700509	1.2865808472806615	9443.347639513626
55	0.8122506861764976	1.287239421618641	9446.334208335398
56	0.8125108197258368	1.2878515280706555	9449.15193912819
57	0.8127471258262422	1.2884270255557686	9451.694165014638
58	0.8129660141284989	1.2889631715699106	9454.060791645617
59	0.8131651982937127	1.2894628850012269	9456.204130960214
60	0.8133495825721097	1.289929072419484	9458.194766768303
61	0.8135092644316124	1.290352132760072	9459.916404204108
62	0.8136568565224064	1.2907468266960582	9461.512754012227
63	0.813792707691394	1.2911165525394062	9462.974506005008
64	0.8139199881430785	1.2914641233548874	9464.347885401061
65	0.8140375049287343	1.2917902532497125	9465.610578744596
66	0.8141478100888144	1.292096886204167	9466.798753154939
67	0.8142497933120572	1.2923847752673303	9467.892641318185
68	0.814345693900051	1.2926555582212238	9468.92230151475
69	0.8144345884942399	1.2929102273220228	9469.874458563138
70	0.8145182884471825	1.2931500690416	9470.773196298798
71	0.8145959719248675	1.2933756320536984	9471.604136193324
72	0.8146775697292872	1.2936057473022438	9472.473836050809
73	0.8147464875243451	1.2938065704353168	9473.21087103304
74	0.8148105018833486	1.2939957995984177	9473.893921524626
75	0.8148780586894325	1.2941892022035208	9474.612526677389
76	0.8149349885972927	1.2943578747530955	9475.219453308851
77	0.814988039570658	1.2945169638485547	9475.7830425763
78	0.8150443201085597	1.294679846907273	9476.37860534472
79	0.815091675029889	1.2948217646680056	9476.880332394721
80	0.8151358211899977	1.2949556537129145	9477.346611518082
81	0.8151828219720705	1.2950929396194923	9477.841603148461
82	0.8152222762062469	1.2952124422547944	9478.25755235363
83	0.8152590841271251	1.295325235844922	9478.644556468817
84	0.8152984112203954	1.2954410775076104	9479.05717607722
85	0.8153313431139774	1.295541822690858	9479.402996406034
86	0.8153620940964825	1.2956369677039232	9479.725144972548
87	0.8153950670731978	1.295734846381544	9480.070059241743
88	0.815422618280064	1.2958199052980799	9480.35845760361
89	0.815448523971478	1.2959003558941213	9480.629714860706
90	0.8154727905384471	1.2959763281314862	9480.883027925998
