iteration 	 stepSize
0	0.2
1	0.21000000000000002
2	0.1995
3	0.20947500000000002
4	0.19900125000000002
5	0.19900125000000002
6	0.19900125000000002
7	0.19900125000000002
8	0.19900125000000002
9	0.19900125000000002
10	0.20895131250000004
11	0.21939887812500006
12	0.21939887812500006
13	0.23036882203125006
14	0.21885038092968753
15	0.21885038092968753
16	0.21885038092968753
17	0.21885038092968753
18	0.20790786188320315
19	0.197512468789043
20	0.18763684534959083
21	0.18763684534959083
22	0.17825500308211129
23	0.16934225292800573
24	0.16087514028160543
25	0.16087514028160543
26	0.15283138326752516
27	0.15283138326752516
28	0.15283138326752516
29	0.14518981410414888
30	0.13793032339894143
31	0.13103380722899435
32	0.13103380722899435
33	0.12448211686754462
34	0.12448211686754462
35	0.11825801102416739
36	0.11825801102416739
37	0.11234511047295902
38	0.11234511047295902
39	0.10672785494931106
40	0.1013914622018455
41	0.09632188909175322
42	0.09150579463716556
43	0.08693050490530728
44	0.08693050490530728
45	0.08258397966004191
46	0.07845478067703981
47	0.07453204164318782
48	0.07453204164318782
49	0.07080543956102842
50	0.07080543956102842
51	0.06726516758297699
52	0.06390190920382813
53	0.06070681374363672
54	0.05767147305645488
55	0.054787899403632136
56	0.05204850443345053
57	0.049446079211778
58	0.0469737752511891
59	0.044625086488629645
60	0.04239383216419816
61	0.04027414055598825
62	0.038260433528188836
63	0.03634741185177939
64	0.034530041259190423
65	0.0328035391962309
66	0.031163362236419353
67	0.029605194124598385
68	0.028124934418368466
69	0.02671868769745004
70	0.025382753312577538
71	0.02411361564694866
72	0.022907934864601225
73	0.021762538121371165
74	0.020674411215302606
75	0.019640690654537475
76	0.0186586561218106
77	0.017725723315720067
78	0.016839437149934064
79	0.01599746529243736
80	0.015197592027815492
81	0.014437712426424717
82	0.01371582680510348
83	0.013030035464848306
84	0.012378533691605891
85	0.011759607007025595
86	0.011171626656674314
87	0.010613045323840598
88	0.010082393057648568
89	0.009578273404766139
90	0.009099359734527832
91	0.00864439174780144
92	0.008212172160411368
93	0.0078015635523908
94	0.00741148537477126
95	0.007040911106032697
96	0.006688865550731062
97	0.006354422273194509
98	0.006036701159534783
99	0.005734866101558044
100	0.005448122796480142
101	0.005175716656656134
102	0.004916930823823327
103	0.0046710842826321606
104	0.004437530068500553
105	0.004215653565075525
106	0.004004870886821749
107	0.003804627342480661
108	0.0036143959753566278
109	0.003433676176588796
110	0.0032619923677593564
111	0.0030988927493713885
112	0.002943948111902819
113	0.002796750706307678
114	0.002656913170992294
115	0.002524067512442679
116	0.002397864136820545
117	0.0022779709299795177
118	0.0021640723834805415
119	0.0020558687643065145
120	0.0019530753260911886
121	0.001855421559786629
122	0.0017626504817972975
123	0.0016745179577074326
124	0.0015907920598220609
125	0.0015112524568309579
126	0.0014356898339894098
127	0.0013639053422899393
128	0.0012957100751754423
129	0.00123092457141667
130	0.0011693783428458366
131	0.0011109094257035447
132	0.0010553639544183674
133	0.001002595756697449
134	9.524659688625765E-4
135	9.048426704194477E-4
136	8.596005368984753E-4
137	8.166205100535515E-4
138	7.757894845508739E-4
139	7.370000103233301E-4
140	7.001500098071635E-4
141	6.651425093168053E-4
142	6.31885383850965E-4
143	6.002911146584167E-4
144	5.702765589254959E-4
145	5.417627309792212E-4
146	5.146745944302601E-4
147	4.889408647087471E-4
148	4.644938214733097E-4
149	4.412691303996442E-4
150	4.1920567387966195E-4
151	3.9824539018567883E-4
152	3.783331206763949E-4
153	3.594164646425751E-4
154	3.4144564141044636E-4
155	3.24373359339924E-4
156	3.081546913729278E-4
157	2.927469568042814E-4
158	2.7810960896406734E-4
159	2.6420412851586395E-4
160	2.509939220900707E-4
161	2.3844422598556718E-4
162	2.265220146862888E-4
163	2.1519591395197435E-4
164	2.0443611825437562E-4
165	1.9421431234165683E-4
166	1.8450359672457397E-4
167	1.7527841688834525E-4
168	1.6651449604392798E-4
169	1.5818877124173158E-4
170	1.50279332679645E-4
171	1.4276536604566274E-4
172	1.356270977433796E-4
173	1.288457428562106E-4
174	1.2240345571340005E-4
175	1.1628328292773004E-4
176	1.1046911878134354E-4
177	1.0494566284227637E-4
178	9.969837970016254E-5
179	9.471346071515441E-5
180	8.997778767939668E-5
181	8.547889829542684E-5
182	8.120495338065549E-5
183	7.71447057116227E-5
184	7.328747042604156E-5
185	6.962309690473949E-5
186	6.614194205950251E-5
187	6.283484495652738E-5
188	5.969310270870101E-5
189	5.670844757326596E-5
190	5.387302519460266E-5
191	5.1179373934872527E-5
192	4.86204052381289E-5
193	4.618938497622245E-5
194	4.387991572741132E-5
195	4.1685919941040755E-5
196	3.9601623943988716E-5
197	3.7621542746789275E-5
198	3.574046560944981E-5
199	3.395344232897732E-5
200	3.225577021252845E-5
201	3.064298170190202E-5
202	2.911083261680692E-5
203	2.7655290985966573E-5
204	2.6272526436668243E-5
205	2.495890011483483E-5
206	2.3710955109093087E-5
207	2.2525407353638433E-5
208	2.139913698595651E-5
209	2.0329180136658683E-5
210	1.931272112982575E-5
211	1.834708507333446E-5
212	1.7429730819667738E-5
213	1.655824427868435E-5
214	1.573033206475013E-5
215	1.4943815461512624E-5
216	1.4196624688436991E-5
217	1.3486793454015142E-5
