source 	 destination 	 fft 	 flow 	 cost(min)
6	5	4.5	0.03023636026451435	4.5
8	5	9.0	225.74703690355622	9.056097303438582
3	6	4.5	9.839567892245503	4.500001619749463
5	6	4.5	446.98191304484135	11.39768786675898
6	3	4.5	0.0	4.5
8	7	9.0	300.5465688854515	9.176238524604885
5	8	9.0	151.60745288277906	9.01141132190057
7	8	9.0	417.8949083294059	9.658752186807863
