iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
136	1665.0	0.0	177.0	1.0	1.0
137	1558.0	1.0	193.0	2.0	2.0
138	1604.0	0.0	176.0	2.0	1.0
139	1583.0	0.0	192.0	1.0	1.0
140	1647.0	1.0	185.0	1.0	1.0
141	1693.0	0.0	194.0	1.0	1.0
142	1626.0	0.0	175.0	0.0	2.0
143	1532.0	0.0	199.0	1.0	1.0
144	1648.0	0.0	176.0	1.0	1.0
145	1690.0	0.0	192.0	1.0	2.0
146	1645.0	0.0	175.0	1.0	1.0
147	1630.0	0.0	193.0	1.0	1.0
148	1686.0	0.0	176.0	0.0	2.0
149	1708.0	1.0	194.0	1.0	2.0
150	1619.0	0.0	177.0	1.0	1.0
151	1670.0	0.0	191.0	1.0	2.0
152	1679.0	0.0	176.0	1.0	1.0
153	1667.0	0.0	190.0	1.0	2.0
154	1665.0	0.0	172.0	1.0	1.0
155	1581.0	0.0	198.0	2.0	1.0
156	1718.0	0.0	181.0	1.0	2.0
157	1592.0	0.0	214.0	1.0	2.0
158	1664.0	0.0	176.0	0.0	2.0
159	1654.0	0.0	199.0	1.0	1.0
160	1711.0	1.0	179.0	1.0	1.0
161	1585.0	0.0	193.0	1.0	2.0
162	1636.0	0.0	174.0	1.0	1.0
163	1628.0	1.0	194.0	1.0	1.0
164	1616.0	1.0	173.0	1.0	1.0
165	1582.0	0.0	187.0	1.0	2.0
166	1657.0	1.0	175.0	1.0	1.0
167	1576.0	1.0	190.0	1.0	2.0
168	1660.0	0.0	175.0	1.0	2.0
169	1556.0	0.0	188.0	1.0	1.0
170	1643.0	0.0	174.0	1.0	1.0
171	1608.0	0.0	193.0	1.0	2.0
172	1601.0	0.0	181.0	1.0	2.0
173	1566.0	1.0	194.0	1.0	1.0
174	1655.0	0.0	174.0	1.0	1.0
175	1694.0	0.0	192.0	2.0	2.0
176	1628.0	0.0	176.0	1.0	1.0
177	1611.0	0.0	195.0	1.0	2.0
178	1621.0	0.0	174.0	1.0	2.0
179	1642.0	0.0	188.0	1.0	2.0
180	1645.0	0.0	173.0	1.0	2.0
181	1723.0	0.0	194.0	1.0	1.0
182	1639.0	0.0	175.0	1.0	1.0
183	1708.0	0.0	196.0	1.0	2.0
184	1643.0	0.0	173.0	1.0	2.0
185	1661.0	0.0	194.0	1.0	2.0
186	1626.0	0.0	176.0	1.0	1.0
187	1564.0	0.0	188.0	1.0	1.0
188	1610.0	0.0	180.0	1.0	2.0
189	1537.0	0.0	196.0	1.0	2.0
190	1641.0	0.0	181.0	1.0	2.0
191	1575.0	0.0	187.0	1.0	2.0
192	1655.0	1.0	178.0	1.0	2.0
193	1535.0	0.0	193.0	0.0	2.0
194	1606.0	0.0	174.0	1.0	1.0
195	1525.0	0.0	193.0	1.0	1.0
196	1639.0	0.0	178.0	1.0	2.0
197	1642.0	0.0	193.0	1.0	1.0
198	1629.0	1.0	174.0	1.0	1.0
199	1559.0	0.0	194.0	1.0	2.0
200	1629.0	0.0	186.0	0.0	2.0
