iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.698565426106143E-4	1.6323863452960552E-4	0.009677459631348029	0.0027374826521346612	348.44659452295855	55.37298626744814	2384.781310649909	491.99864594375987
1	9.07627196284011E-4	3.5752269468503073E-4	10.028228529394255	1.3862091340106417	237.45872261408658	13.662088810392985	1832.5635786287312	266.7299259359332
2	9.632687724661082E-4	4.0989017361425795E-4	10.029650430951733	1.2567843781998818	4.853534947706066	0.8137815470819643	1511.5487658018828	217.79528603654182
3	9.93269553873688E-4	3.2676621776772663E-4	10.032346575113479	1.2579728743385203	0.7300473230898206	0.12126001320685693	1338.8542924899957	228.61284437437803
4	9.917437855619937E-4	3.5065186602878384E-4	10.034881784420577	1.2546285850457934	0.058588119401974836	0.010421401254416197	1215.8200097000808	202.08717162191377
5	9.945812344085425E-4	3.3116849954240024E-4	10.037352902189014	1.254891400671113	0.0037995108323229942	0.0012087768197034166	1126.0597866039316	197.04457156404857
6	9.94150061160326E-4	3.527847620716784E-4	10.033700410160236	1.2544308328742773	9.94946525679552E-4	2.1926164423503189E-4	1058.5668335887603	177.06306730184684
7	9.947947401087731E-4	3.5932120954385027E-4	9.06114059034735E-4	2.6788029520373257E-4	9.833272815740202E-4	2.0696788365255443E-4	1006.0834473985014	161.12962862025563
8	9.922371827997267E-4	3.4281242187717E-4	8.987409382825717E-4	2.536570017192779E-4	9.746299874677788E-4	2.393241305312864E-4	963.8468027326453	147.29223168867017
9	9.920232114382088E-4	3.420872562855948E-4	9.461823792662472E-4	2.745374014401542E-4	9.95237382085179E-4	2.5767822043402407E-4	928.7494889296067	145.01249353847615
10	9.995707077905536E-4	3.401082976779435E-4	9.761017136042938E-4	2.678202020303745E-4	9.938405401044292E-4	2.3682465451907328E-4	898.7372447327361	140.61992641211592
11	9.96699498500675E-4	3.444785725150723E-4	8.74101955560036E-4	2.6017723679875156E-4	9.599117911420763E-4	2.2929065861868972E-4	872.4454303024395	137.67252478740681
12	9.919836593326181E-4	3.5292052052682266E-4	8.519813854945824E-4	2.3877732123115232E-4	9.943175573425833E-4	2.3976390048119356E-4	848.9547515691957	133.56955305325752
13	9.947551880031824E-4	3.414334751141723E-4	9.261082159355283E-4	2.631276916612738E-4	9.493409415881615E-4	2.267460815043402E-4	827.6359170798678	127.68683055629963
14	9.975309658329934E-4	3.4009612136287615E-4	9.83243138762191E-4	2.7872834055285366E-4	9.856430042418651E-4	2.4226327587576691E-4	808.0485178608214	127.16691165174272
15	9.978061716537923E-4	3.603386867325753E-4	9.514588891761377E-4	2.5246395671274513E-4	9.659090574132279E-4	2.3231244222188252E-4	789.8774995992135	122.43821698210748
16	9.920886368490756E-4	3.4121966746170074E-4	8.981320133898407E-4	2.553453502644386E-4	9.604257993487408E-4	2.3959493588184463E-4	772.8920325514337	119.10064471664452
17	9.945629572030157E-4	3.3971665470744483E-4	8.920692052925006E-4	2.6426934553975504E-4	9.808425274968613E-4	2.3183742045299974E-4	756.9184126863838	115.93100402655047
18	9.901688317768276E-4	3.3615087522775866E-4	9.217978804372251E-4	2.559227785760803E-4	9.538781032460975E-4	2.2021165220413675E-4	741.8223070136446	114.00246323941761
19	9.9064371897839E-4	3.284560370957479E-4	9.945257479557768E-4	2.8413278882258704E-4	9.650378015066963E-4	2.3952555672254443E-4	727.4981420762488	111.10418070579824
20	9.916135459206998E-4	3.5253131500212476E-4	8.222451142501086E-4	2.35174541428153E-4	9.708814486657502E-4	1.9464852573269038E-4	713.8599573777174	100.98313641082342
21	9.970387036446482E-4	3.347167730680667E-4	9.81820048764348E-4	2.866859098763338E-4	9.91760613032966E-4	2.4657619265629666E-4	700.8379348689923	104.69087049222587
22	9.837013203650713E-4	3.669297402666416E-4	9.911765955621377E-4	2.8266738393410506E-4	9.954459910659352E-4	2.1778170359236052E-4	688.3734344028926	102.18692662271025
23	9.755339997354895E-4	3.7391941441455856E-4	9.236609621439129E-4	2.5255385012964586E-4	9.78600302914856E-4	2.1951542286694108E-4	676.4164574889583	98.84574171960031
24	9.927975188475102E-4	3.2887261113501154E-4	9.604222141206264E-4	2.592003750448514E-4	9.919830608851044E-4	2.407780969193443E-4	664.9596878065786	96.09893013861628
25	9.961671312339604E-4	3.336324807605706E-4	8.301308698719367E-4	2.452717682379963E-4	9.69525812251959E-4	2.3734467652047897E-4	653.713573818095	90.87684979923081
26	9.969738312065601E-4	3.512851762934588E-4	8.765004167798907E-4	2.4184296073924218E-4	9.92661400232464E-4	2.596304012740802E-4	642.8744271673495	88.58066273352236
27	9.947714279405773E-4	3.610003986977972E-4	9.75480375927873E-4	2.6991988748445043E-4	9.76658848230727E-4	2.4033519586434218E-4	632.4266451029107	86.41200974098375
28	9.591704874765128E-4	3.5485418993630446E-4	9.50977744651027E-4	2.704962119293798E-4	9.834638076426927E-4	2.653918998713261E-4	622.3499205204716	87.87167939079308
