ODtype	Origin	Destination	Demand	Cost
Regular	1	2	500.0	569.3273075921985
Regular	1	6	1500.0	2305.1298380727717
Regular	1	7	1000.0	2255.8578951193504
Regular	1	9	1000.0	2415.3548581148652
Regular	2	4	1000.0	1298.3792847539946
Regular	2	6	500.0	1736.3872343211924
Regular	2	8	900.0	2016.3747969381586
Regular	4	8	2000.0	1143.3203724220996
Regular	5	8	1000.0	747.4672695260433
Regular	9	1	1500.0	237.93862728340233
Regular	9	3	500.0	378.11808
Regular	9	6	700.0	362.81807999999995
