source 	 destination 	 fft 	 flow 	 cost(min)
6	5	4.5	0.0	4.5
8	5	9.0	637.7680134853325	12.573589692615231
3	6	4.5	1495.2161972680476	868.193617160595
5	6	4.5	1388.476268489047	646.7403438185313
6	3	4.5	500.0	15.299999999999999
8	7	9.0	862.2319865146674	20.938513946579437
5	8	9.0	2418.0728175465233	747.4672695260432
7	8	9.0	1598.234716696393	149.93406925290142
