origin 	 dest 	 flow 	 cost
2	3	1495.30342106156	868.3951698888515
6	9	883.6891755498793	109.87604130774606
4	7	2598.343656688108	993.5552952249317
5	6	1388.3857544883235	646.5728910211104
3	6	1495.30342106156	868.3951698888515
7	8	1598.3436566881094	149.9724989679794
2	1	652.6855148626422	35.858814488068965
1	2	1344.0254285382048	568.3631071572821
4	5	2057.630914773686	396.18957585888626
5	4	984.9145268629936	29.32581289271861
1	4	2759.9944498046953	1262.391040786952
8	9	267.5888169734743	9.110745372740736
5	2	548.6656365197379	20.15938786198726
9	8	1651.277992523355	169.5959255192413
2	5	1644.7021291337405	1268.9240759917034
3	2	0.0	4.5
4	1	951.3343634802624	26.69238936291094
8	5	637.6000417256353	12.56982641168838
6	3	500.0	15.299999999999999
9	6	1199.9999999999998	362.81807999999967
8	7	862.399958274365	20.947819652203496
6	5	0.0	4.5
7	4	862.399958274365	20.947819652203496
5	8	2417.96716776201	747.3382183340249
