Origin 	 destination 	 od demand 	od travel time
1	2	500.0	595.0353933342544
1	6	1500.0	2361.430499850422
1	7	1000.0	2273.695450522049
1	9	1000.0	2443.1342427062928
2	4	1000.0	1290.797358006764
2	6	500.0	1766.3951234011688
2	8	900.0	2065.2150254755115
4	8	2000.0	1175.1556748785786
5	8	1000.0	802.7450520326481
9	1	1500.0	284.50096100919586
9	3	500.0	422.92907115527055
9	6	700.0	246.1626240722746
