Origin 	 destination 	 od demand 	od travel time
1	2	100.0	168.0161027985234
1	3	700.0	22.406028899762138
1	4	1000.0	3299.284313535974
2	1	900.0	370.4315572747156
2	3	400.0	2936.0613035977567
2	4	900.0	3501.8759218525097
3	1	900.0	230.31367633393435
3	2	300.0	134.1491072009295
3	4	800.0	55.62105249235337
4	1	400.0	367.46447747567527
4	2	800.0	78.52805470857611
4	3	100.0	25.965509168177615
