itr 	 Avg % dif 	 total difference
0	0.3125015053227522	249674.97639999999
1	0.2906323479031023	223940.95286677923
2	0.28741066042169605	216058.43871002586
3	0.2853047140256852	212154.1974134441
4	0.2872033146479963	211506.49730840715
5	0.29139342811711716	213465.57664139016
6	0.29372405987092126	214537.65225089007
7	0.2962153686384717	216867.2031470136
8	0.2957319110362185	215613.7157127868
9	0.2980909467177038	217379.20808819763
10	0.2945846928442357	214921.25623226413
11	0.2898999931232746	211633.63801701335
12	0.2928486302081295	212430.8810859691
13	0.29178354549818925	209441.3264614648
14	0.2929324030834548	209744.82596556284
15	0.2919928726109342	209012.144383856
16	0.29561658772263594	210828.91431067066
17	0.2999686223110838	213006.03513734366
18	0.30115858742526497	213874.16729956737
19	0.3019110290178128	214494.0065866213
20	0.30185613650332793	214776.86203411035
21	0.30204622749407145	214823.16728364315
22	0.30217827918405765	214815.92822493444
23	0.30234166410243785	214935.65261312667
24	0.30255754087276326	215014.28834015442
25	0.3029674520244427	215278.0785316246
26	0.3032797055575922	215467.1764513807
27	0.3036872961185315	215704.3080956775
28	0.30398585978144677	215881.64274485863
29	0.30430411200387686	216106.9101303597
30	0.30454336218371575	216246.20493968303
31	0.30476037879184587	216374.9272651759
32	0.3049705509658236	216501.30309473578
33	0.30511493974751797	216598.38071950004
34	0.3052714524597629	216683.4684156478
35	0.3054391813944342	216787.3540513415
36	0.3055881961219377	216853.6039069085
37	0.3057252528614126	216926.62542880126
38	0.3058725000999804	217002.85022588327
39	0.3059735977514264	217041.57096495933
40	0.30608168916674683	217089.25025743726
41	0.30619268808097866	217138.40436986685
42	0.3063161650719883	217196.9810971306
43	0.30641482011526733	217241.81609804404
44	0.3065123273689756	217282.9993945193
45	0.30660834556106265	217323.55315181174
46	0.3067010843223332	217362.295484976
47	0.3067737007180929	217388.39878663002
48	0.3068461710076481	217415.45836844124
49	0.3069118815059824	217438.57543894675
50	0.3069758458265496	217464.10665672334
51	0.3070341387284064	217488.24437721673
52	0.3070866822033887	217509.57176104462
53	0.30713933776569996	217532.57794233318
54	0.30718508630350067	217553.1957368715
55	0.3072288639307866	217573.84347853807
56	0.3072701029547753	217592.6741659651
57	0.30730787987172886	217611.63170633122
58	0.3073443552441025	217629.5948210438
59	0.30737714290706725	217646.66327595536
60	0.3074090428083429	217662.91087509805
61	0.30743735737923367	217678.05664997434
62	0.30746477233471997	217692.4296832721
63	0.30748965909744025	217706.14237931813
64	0.30751384870746623	217719.1845737812
65	0.30753580240226713	217731.582707552
66	0.30755721426492644	217743.37125019886
67	0.30757663774420824	217754.57012225964
68	0.3075956984385126	217765.28085822155
69	0.30761288953372984	217775.3432307691
70	0.3076296736599684	217784.92519148806
71	0.3076449344718573	217793.99212032498
72	0.30766407263223067	217803.38070549112
73	0.3076782417310386	217811.6627457928
74	0.3076910574673186	217819.4445204836
75	0.30770718229963967	217827.4833324896
76	0.3077190679302707	217834.56867312302
77	0.30772986637451477	217841.2202198179
78	0.3077435064868673	217848.08166358533
79	0.3077535514436674	217854.123842581
80	0.3077626710660511	217859.79538514072
81	0.30777422199543014	217865.6439971955
82	0.30778270596618634	217870.79206676362
83	0.30779041361468834	217875.62349065172
84	0.3078002043036431	217880.60594024695
85	0.3078073750816027	217884.98861714214
86	0.30781389504662876	217889.10207254963
87	0.30782220178362124	217893.34576493775
88	0.3078282699961669	217897.0765900182
89	0.30783394369805117	217900.59313175964
90	0.30783916404040623	217903.91079172192
