iteration 	 gap 	 fullGap
0	0.0	0.45527993464035243
1	0.0	0.2994187198394491
2	0.0	0.28531039485832954
3	0.0	0.23046159328344107
4	0.0	0.2104559417906049
5	0.0	0.16827625031501658
6	0.0	0.14900792748794012
7	0.0	0.1273752482729139
8	0.0	0.11320959906632433
9	0.0	0.09292826242758312
10	0.0	0.07119253731875463
11	0.0	0.06025260162363999
12	0.0	0.05588652731877375
13	0.0	0.04576836725812039
14	0.0	0.03279502288585734
15	0.0	0.028017775722959604
16	0.0	0.020696027466025946
17	0.0	0.01632841174575339
18	0.0	0.014678378948472792
19	0.0	0.01383237003386839
20	0.0	0.012522069820428028
21	0.0	0.009242955322842028
22	0.0	0.006913935476220878
23	0.0	0.006276049616477097
24	0.0	0.004905833452016672
25	0.0	0.00390748488628645
26	0.0	0.0035672847437867583
27	0.0	0.002999380584226663
28	0.0	0.0027732615617950263
29	0.0	0.0022602448524273733
30	0.0	0.0018439212187677523
31	0.0	0.001773308573939092
32	0.0	0.0014383301002505178
33	0.0	0.0011272743412906738
34	0.0	9.695680739687518E-4
35	0.0	7.867035705566572E-4
36	0.0	5.421740777422634E-4
37	0.0	4.2027006001266187E-4
38	0.0	3.9677997174514257E-4
39	0.0	3.280752122242214E-4
40	0.0	2.772788518227154E-4
41	0.0	2.487629303185024E-4
42	0.0	2.1039657442367687E-4
43	0.0	1.7676315725401182E-4
44	0.0	1.4743000377037685E-4
45	0.0	1.5619622127305277E-4
46	0.0	1.1650350637226747E-4
47	0.0	1.021928793227822E-4
48	0.0	8.046061875988109E-5
49	0.0	6.0929566040646144E-5
50	0.0	5.412293799489376E-5
51	0.0	4.9629842501675014E-5
52	0.0	4.8760398405844896E-5
53	0.0	3.501246291248705E-5
54	0.0	3.0082776555251378E-5
55	0.0	2.6666839412103904E-5
56	0.0	2.2443908332392404E-5
57	0.0	2.1076073967840614E-5
58	0.0	2.1177422020235426E-5
59	0.0	1.4108341223728615E-5
60	0.0	1.1783584592972574E-5
61	0.0	1.0610810909250645E-5
62	0.0	9.472291570555846E-6
63	0.0	8.017649811509209E-6
64	0.0	4.925924143805993E-6
65	0.0	4.936493029017441E-6
66	0.0	4.251862035675735E-6
67	0.0	3.9231488189184205E-6
68	0.0	3.717347503595647E-6
69	0.0	2.778997240882042E-6
70	0.0	2.5343733833782522E-6
71	0.0	2.099732337446092E-6
72	0.0	1.8728540976953312E-6
73	0.0	1.6064510778290852E-6
74	0.0	1.4176086664541288E-6
75	0.0	1.023031995672774E-6
