iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
261	15	0	141	0	0
262	15	0	139	0	1
263	2	0	141	0	0
264	0	0	141	0	0
265	15	0	141	0	0
266	0	0	141	0	0
267	16	0	143	0	0
268	0	0	140	0	0
269	16	0	139	0	0
270	0	0	148	0	0
271	15	0	125	0	0
272	16	0	147	1	1
273	10	0	130	0	0
274	16	0	141	0	0
275	15	0	141	0	0
276	0	0	142	0	0
277	15	0	141	0	0
278	0	0	141	0	0
279	15	0	141	0	0
280	15	0	141	0	0
281	16	0	125	0	0
282	15	0	141	0	0
283	18	0	124	0	0
284	16	0	140	0	0
285	0	0	141	0	0
286	16	0	140	0	0
287	15	0	125	0	0
288	16	0	141	0	0
	3315	23	52709	66	231
